title,price,bed,bath,size,address
Exceptional 4514 Square Feet Apartment Is Now Available For Sale In Gulshan,130000000,3,4,"4,514","Gulshan 2, Gulshan, Dhaka"
3850 Sq Ft Flat Is Up For Sale In The Great Location Of Gulshan 2,98000000,4,4,"3,850","Gulshan 2, Gulshan, Dhaka"
3815 Sq Ft Flat Is Now Vacant For Sale In Gulshan,98000000,4,4,"3,815","Gulshan 2, Gulshan, Dhaka"
Amazing 4287 SQ FT Flat Is Now Available For sale In Banani DOHS,97000000,4,4,"4,287","Banani DOHS, Dhaka"
Buy This 3870 Square Feet Apartment In The Fabulous Area Of Gulshan 2,96000000,4,5,"3,870","Gulshan 2, Gulshan, Dhaka"
"8610 Square Feet Spacious And Modern Flat Is Available For Sale In Bashundhara R-a, Block I",95000000,5,5,"8,610","Bashundhara R-A, Dhaka"
3150 Square Feet Flat For Sale Is Positioned In A Desirable Place Like Gulshan 1,94500000,3,4,"3,150","Gulshan 1, Gulshan, Dhaka"
3500 Square Feet Apartment For Sale In Banani Dohs,94500000,4,6,"3,500","Banani DOHS, Dhaka"
Explore This 3700 Sq Ft Residential Flat For Sale In The Heart Of Gulshan 2,92000000,3,4,"3,700","Gulshan 2, Gulshan, Dhaka"
Prominent Location | 3 Bedroom | Vacant Apartment | Ready To Move,90000000,3,4,"3,700","Gulshan 2, Gulshan, Dhaka"
"4838 Square Feet Flat Is Ready For Sale In Baridhara, Block K",87500000,4,4,"4,838","Block K, Baridhara, Dhaka"
"Impressive Apartment Of 3903 Sq Ft Is Up For Sale In Block K, Baridhara",85000000,3,3,"3,903","Block K, Baridhara, Dhaka"
3524 Sq Ft Splendid Apartment Is Available For Sale In Gulshan,80000000,4,4,"3,524","Gulshan 2, Gulshan, Dhaka"
A Beautiful Residential Apartment 4790 Sq Ft Is Now For Sale In Gulshan 2,80000000,4,4,"4,790","Gulshan 2, Gulshan, Dhaka"
In An Amazing Location This 3890 Sq. Ft Home Is Vacant For Sale In Gulshan 2 .,80000000,4,4,"3,890","Gulshan 2, Gulshan, Dhaka"
Noteworthy 3363 Square Feet Residential Apartment For Sale In Gulshan,77300000,4,4,"3,363","Gulshan 2, Gulshan, Dhaka"
Spectacular 3363 Square Feet Apartment For Sale In Gulshan 2,77300000,4,4,"3,363","Gulshan 2, Gulshan, Dhaka"
3800 Square Feet Apartment For Sale In The Nice Location Of Banani Dohs,76000000,4,5,"3,800","Banani DOHS, Dhaka"
